,model_name,init_time,readme_time,init_readme_diff
22110,deepset/quora_dedup_bert_base,2020-03-23,Fri Dec 11 22:38:07 2020 +0100,263 days 10:16:44
30628,mrm8488/chEMBL_smiles_v1,2020-03-23,Fri Dec 11 22:53:34 2020 +0100,263 days 08:08:07
27607,google/electra-large-discriminator,2020-03-24,Fri Dec 11 22:42:43 2020 +0100,262 days 02:51:36
27654,elgeish/cs224n-squad2.0-albert-large-v2,2020-03-24,Fri Dec 11 22:38:57 2020 +0100,262 days 18:20:56
43,camembert/camembert-base-ccnet,2020-03-24,Fri Dec 11 22:35:15 2020 +0100,262 days 09:54:48
14327,camembert/camembert-large,2020-03-24,Fri Dec 11 22:35:25 2020 +0100,262 days 10:04:31
25120,camembert/camembert-base-wikipedia-4gb,2020-03-24,Fri Dec 11 22:35:21 2020 +0100,262 days 09:54:52
15946,google/electra-base-generator,2020-03-24,Fri Dec 11 22:42:40 2020 +0100,262 days 03:08:35
1138,elgeish/cs224n-squad2.0-albert-xxlarge-v1,2020-03-24,Fri Dec 11 22:39:01 2020 +0100,262 days 18:18:20
5403,dbmdz/bert-base-turkish-128k-cased,2020-03-24,Fri Dec 11 22:37:03 2020 +0100,262 days 11:56:34
8721,camembert/camembert-base,2020-03-24,Fri Jun 17 23:06:40 2022 +0000,815 days 11:26:36
11512,google/electra-small-generator,2020-03-24,Fri Dec 11 22:42:53 2020 +0100,262 days 03:10:35
11404,google/electra-base-discriminator,2020-03-24,Fri Dec 11 22:42:36 2020 +0100,262 days 02:57:30
22962,dbmdz/bert-base-turkish-128k-uncased,2020-03-24,Fri Dec 11 22:37:06 2020 +0100,262 days 11:52:25
13297,camembert/camembert-base-oscar-4gb,2020-03-24,Fri Dec 11 22:35:18 2020 +0100,262 days 09:52:15
10793,google/electra-large-generator,2020-03-24,Fri Dec 11 22:42:46 2020 +0100,262 days 03:06:24
10794,camembert/camembert-base-ccnet-4gb,2020-03-24,Fri Dec 11 22:35:11 2020 +0100,262 days 09:54:16
16604,elgeish/cs224n-squad2.0-albert-base-v2,2020-03-24,Fri Dec 11 22:38:54 2020 +0100,262 days 18:25:30
9065,google/electra-small-discriminator,2020-03-24,Fri Dec 11 22:42:49 2020 +0100,262 days 02:59:37
20863,dbmdz/bert-base-turkish-uncased,2020-03-24,Fri Dec 11 22:37:13 2020 +0100,262 days 12:03:24
21395,facebook/mbart-large-cc25,2020-03-25,Thu Aug 20 14:57:47 2020 +0000,147 days 17:47:29
14351,facebook/mbart-large-en-ro,2020-03-25,Thu Aug 20 14:54:04 2020 +0000,147 days 17:43:09
7794,mrm8488/GPT-2-finetuned-CORD19,2020-03-26,Fri Dec 11 22:51:46 2020 +0100,260 days 10:13:54
20244,mrm8488/GPT-2-finetuned-covid-bio-medrxiv,2020-03-26,Fri Dec 11 22:51:53 2020 +0100,260 days 09:57:36
25628,mrm8488/chEMBL26_smiles_v2,2020-03-26,Tue Apr 27 14:48:57 2021 +0000,396 days 17:19:55
24373,mrm8488/bert-spanish-cased-finetuned-pos-syntax,2020-03-27,Fri Dec 11 22:53:18 2020 +0100,259 days 05:54:06
2280,mrm8488/distilbert-multi-finetuned-for-xqua-on-tydiqa,2020-03-29,Fri Dec 11 22:53:48 2020 +0100,257 days 02:54:34
199,redewiedergabe/bert-base-historical-german-rw-cased,2020-04-01,Fri Dec 11 23:00:12 2020 +0100,254 days 13:04:31
23154,henryk/bert-base-multilingual-cased-finetuned-polish-squad2,2020-04-02,Thu Apr 2 11:13:26 2020 +0000,0 days 00:00:07
