Model,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
facebook/roberta-hate-speech-dynabench-r4-target,,,,,,,,,,,8,35,11,21,61,10,3,9,37,0,41,53,289,210,127,33
sijunhe/nezha-cn-base,,,,,,,,,,,,23,20,0,79,51,118,150,88,36,41,7,84,43,41,13
lizz27/DialoGPT-medium-BaymaxBot,,,,,,,,,,,,,,,,,,103,101,77,82,46,174,297,190,
bigscience/distill-bloom-1b3,,,,,,,,,,,,,,,,,105,82,36,41,38,7,6,10,154,142
pszemraj/grammar-synthesis-large,,,,,,,,,,,,,,,82,40,59,70,47,163,61,14,136,99,97,1
PrimeQA/tydiqa-primary-task-xlm-roberta-large,,,,,,,,,,,,,,,38,38,14,21,30,62,88,83,109,59,17,24
sijunhe/nezha-base-wwm,,,,,,,,,,,,2,3,0,18,5,4,92,58,517,395,4,56,48,56,24
ZipperXYZ/DialoGPT-medium-TheWorldMachineExpressive2,,,,,,,,,,,,,90,26,130,70,74,60,47,51,90,57,117,213,124,13
valurank/final_headline_generator,,,,,,,,,,,,,,,,,,,,45,65,23,33,99,180,95
lucataco/DialoGPT-medium-rafa,,,,,,,,,,,164,108,56,0,12,0,24,38,24,43,53,23,180,146,145,9
KoichiYasuoka/deberta-base-japanese-aozora-ud-head,,,,,,,,,,,,272,38,3,133,13,19,68,15,5,18,27,10,17,23,13
CompVis/ldm-celebahq-256,,,,,,,,,,,,,,,,,49,36,36,24,33,177,33,119,39,25
RUCAIBox/mvp,,,,,,,,,,3,0,0,77,51,76,48,55,113,160,48,26,11,41,35,36,1
CodeIvy/distilgpt2-finetuned-wikitext2,,,,,,,,,,,,2,38,59,30,39,31,30,56,46,36,23,729,28,23,3
NikkiTiredAf/DialoGPT-small-billy2,,,,,,,,,,,,,187,87,74,33,112,61,33,48,36,55,99,229,137,11
tinkoff-ai/ruDialoGPT-medium,,,,,,,,,,,,,,,,13,23,321,96,63,42,15,61,49,11,6
wannaphong/wav2vec2-large-xlsr-53-th-cv8-deepcut,,,,,,,,,,,10,0,0,0,0,0,0,0,0,17,6,6,538,10,1421,4
keans/DialoGPT-small-highjacker,,,,,,,,,87,58,39,81,48,0,60,67,70,41,52,38,44,27,123,150,129,
microsoft/codereviewer,,,,,,,,,,,,,,,,,,105,105,253,95,32,22,62,68,7
model-attribution-challenge/bloom-2b5,,,,,,,,,,,,,,,,,,,,109,87,58,97,122,113,11
IDEA-CCNL/Erlangshen-Ubert-330M-Chinese,,,,,,,,,,,,,,50,103,178,192,42,13,22,102,2,9,14,38,1
EMBO/BioMegatron345mUncased,,,,,,,,,,9,0,0,2,4,86,1,1,15,83,139,34,21,16,14,131,20
nickmuchi/yolos-small-finetuned-masks,,,,,,,,,,,,175,103,0,15,87,96,56,49,31,15,12,45,10,22,12
Aniemore/rubert-tiny2-russian-emotion-detection,,,,,,,,12,122,93,105,37,11,9,22,80,30,77,4,61,36,50,39,32,16,2
damianruel/DialoGPT-medium-MySon,,,,,,,,,,,36,80,3,33,60,56,63,38,32,41,51,30,93,207,107,17
bond005/wav2vec2-large-ru-golos,,,,,,,,,,,,,7,43,34,28,7,10,56,17,44,20,30,65,219,25
wvangils/GPT-Medium-Beatles-Lyrics-finetuned-newlyrics,,,,,,,,,,,2,9,37,0,15,24,11,9,1,4,36,2,10,148,422,2
oliverguhr/wav2vec2-large-xlsr-53-german-cv9,,,,,,,,,,,,19,16,0,48,1,24,64,15,17,19,11,119,126,58,3
markofhope/DialoGPT-medium-HarringtonBot,,,,,,,,,,,,98,10,0,34,47,59,42,35,54,62,27,100,207,143,10
Naturealbe/DialoGPT-small-Technoblade,,,,,,,,,,,,,,5,150,78,56,54,37,50,59,57,87,271,136,16
lucataco/DialoGPT-medium-omar,,,,,,,,,,,5,35,19,0,21,0,29,66,24,44,49,15,191,277,133,
smmzhu/DialoGPT-medium-sam,,,,,,,,,,,,,,,,110,133,50,56,103,76,18,97,250,115,15
Browbon/DialoGPT-medium-LucaChangretta,,,,,,,,,,,,61,21,47,49,15,25,35,32,58,55,58,86,231,120,18
huggingtweets/donalds28__-dril-kommmipakk,,,,,,,,,,,,,,,,,,,8,224,217,73,77,212,140,7
okwach/mawaidhaChatbot2,,,,,,,,61,45,34,82,69,66,0,43,43,45,41,47,36,38,42,90,105,145,13
crystallyzing/DialoGPT-small-kiryu,,,,,,,,,,,,,184,66,38,40,17,40,36,52,40,37,128,218,93,10
lucataco/DialogGPT-med-Rick,,,,,,,,,,,24,46,3,0,36,0,45,34,22,39,42,21,171,258,135,17
Babysittingyoda/DialoGPT-small-Peter,,,,,,,,,,,,79,39,51,59,56,75,47,43,53,51,61,98,150,127,13
arem/DialoGPT-medium-rickandmorty,,,,,,,,,,,,,101,25,51,46,13,50,30,49,50,92,88,182,140,14
ontocord/minidalle,,,,,,,,,,,,,,,,,,,11,25,80,117,106,126,9,
optimum/distilbert-base-uncased-finetuned-banking77,,,,,,,,,,,178,12,8,0,26,18,97,73,4,24,18,15,29,98,27,18
pszemraj/grammar-synthesis-base,,,,,,,,,,,,,,,,,66,50,20,774,73,16,66,74,76,5
brianveebee/DialoGPT-medium-bender,,,,,,,,,,,,,,,76,126,33,58,75,63,54,22,81,155,123,15
apple/deeplabv3-mobilevit-xx-small,,,,,,,,,,10,1,14,2,24,61,38,41,65,40,35,83,34,59,31,12,6
lucataco/DialoGPT-medium-milo,,,,,,,,,,,26,55,51,0,18,0,40,42,25,39,41,15,148,273,99,14
juliensimon/distilbert-amazon-shoe-reviews,,,,,,7,0,64,7,15,140,55,11,0,45,4,24,14,34,25,57,5,1,75,8,5
soProf1998/DialoGPT-medium-chattyrick,,,,,,,,,,,,,105,0,49,31,20,39,34,47,43,36,101,234,121,14
lgessler/coptic-bert-small-uncased,,,,,,,,,,,,,,,,,42,0,174,28,39,10,36,82,49,16
Theivaprakasham/layoutlmv3-finetuned-invoice,,,,,,,,,,,12,27,26,5,40,87,30,115,19,28,27,5,23,22,40,45
salesken/translation-spanish-and-portuguese-to-english,,,,,,,,,,,36,28,11,0,39,32,10,11,19,6,7,39,18,86,173,37
jonaskoenig/topic_classification_04,,,,,,,,,,,,,,,,,89,58,96,77,157,42,61,123,136,45
JAlexis/bert003,,,,,,,,,,,,,,,,,,,48,189,219,272,7,3,,
hf-internal-testing/mrpc-bert-base-cased,,,,,,,,,,,,,,,,,,,603,304,133,90,280,274,88,1
model-attribution-challenge/bloom-350m,,,,,,,,,,,,,,,,,,,,117,136,60,60,128,149,11
dlicari/Italian-Legal-BERT,,,,,,,,,,,,,,,,8,0,52,63,0,28,16,40,295,33,4
Wi/arxiv-topics-distilbert-base-cased,,,,,,,,,,,,,,,,105,51,49,53,35,28,80,29,62,49,17
JazzyLucas/DialoGPT-small-TonyStark,,,,,,,,,,,,,,105,34,62,52,57,30,41,55,78,135,188,131,3
google/owlvit-base-patch16,,,,,,,,,,,,,,,,,2,0,17,38,93,37,13,238,242,52
crystallyzing/DialoGPT-small-nishikiyama,,,,,,,,,,,,,161,34,43,30,58,35,33,39,44,21,92,204,109,12
MCG-NJU/videomae-base-finetuned-kinetics,,,,,,,,,,,,,,,,,,,25,58,9,7,8,44,264,17
